id,rand,coef,t
511702,0.3836465422957313,1.62,1.520958749658e+12
511703,0.2847839270915798,1.4,1.52095877441e+12
511704,0.6916026330300614,3.24,1.520958796973e+12
511705,0.8706608260680597,7.72,1.520958833755e+12
511706,0.6439846743931958,2.81,1.520958888567e+12
511707,0.7673987722414077,1,1.52095892268e+12
511708,0.8744333781940942,7.96,1.520958940682e+12
511709,0.7770485500285981,4.48,1.520958996174e+12
511710,0.3501802276238287,1.54,1.520959039375e+12
511711,0.4027428569744209,1.67,1.520959063347e+12
511712,0.1476254014176376,1,1.52095908857e+12
511713,0.8382077114279867,6.18,1.520959106573e+12
511714,0.7133505087609753,3.49,1.520959156525e+12
511715,0.1182869219030922,1.13,1.520959194747e+12
511716,0.9746868107408952,39.47,1.52095921432e+12
511717,0.7558207716224299,4.09,1.520959307502e+12
511718,0.0257490235440781,1.03,1.520959348853e+12
511719,0.7867126736759006,1,1.520959367225e+12
511720,0.6830242005370148,3.15,1.520959385227e+12
511721,0.7522443490457360,1,1.52095942148e+12
511722,0.2088406680172404,1.26,1.520959439481e+12
511723,0.7833889997059923,4.61,1.520959460534e+12
511724,0.8099403704539735,5.26,1.520959504317e+12
511725,0.7134644984531833,3.49,1.520959550839e+12
511726,0.1960960915768743,1.24,1.520959589061e+12
511727,0.0053542722029039,1.01,1.520959609894e+12
511728,0.4770805995159504,1.91,1.520959628017e+12
511729,0.9283292428423486,13.94,1.520959655388e+12
511730,0.0399211431015099,1,1.52095972366e+12
511731,0.0296442781178384,1.03,1.520959741662e+12
511732,0.6394729026685173,2.77,1.520959760034e+12
511733,0.4975654216244736,1.99,1.520959793887e+12
511734,0.8436052626566042,6.39,1.520959821941e+12
511735,0.6018236450855219,2.51,1.520959872613e+12
511736,0.8073758638481088,5.19,1.520959904677e+12
511737,0.3304261673079865,1.49,1.520959950919e+12
511738,0.4500969069660867,1.82,1.520959974401e+12
511739,0.4025735944515498,1.67,1.520960000992e+12
511740,0.7966910271897658,4.91,1.520960026213e+12
511741,0.0749986150942275,1.08,1.520960071305e+12
511742,0.1994049456434802,1.25,1.520960090288e+12
511743,0.4240161381717809,1.74,1.520960111231e+12
511744,0.0627978139237496,1.07,1.520960137104e+12
511745,0.1453790017742149,1.17,1.520960155966e+12
511746,0.1923453293722927,1.24,1.520960176008e+12
511747,0.7930982473290289,4.83,1.520960196841e+12
511748,0.2427868992655507,1.32,1.520960241594e+12
511749,0.9199405931681256,12.48,1.520960263306e+12
511750,0.3711708684850416,1.59,1.52096032901e+12
511751,0.4442121133776876,1.8,1.520960353472e+12
511752,0.2448196050815332,1.32,1.520960379884e+12
511753,0.2716279442588864,1.37,1.520960401595e+12
511754,0.1945379176630028,1.24,1.520960423837e+12
511755,0.8723009298258231,7.82,1.520960444669e+12
511756,0.6476137423067385,2.84,1.520960499771e+12
511757,0.0051134407997861,1.01,1.520960534084e+12
511758,0.5186204531971880,2.08,1.520960552206e+12
511759,0.4044947252619301,1.68,1.520960580999e+12
511760,0.6644215550423656,2.98,1.520960606322e+12
511761,0.9777064048633227,44.81,1.520960641524e+12
511762,0.1169513843760247,1.13,1.520960737807e+12
511763,0.8412638625226132,6.29,1.52096075738e+12
511764,0.1623755768319535,1.19,1.520960807712e+12
511765,0.2365711136340562,1,1.520960827984e+12
511766,0.9217824365295896,12.77,1.520960845987e+12
511767,0.7848155125474593,4.64,1.520960912218e+12
511768,0.5858669957578804,2.41,1.520960956141e+12
511769,0.2200005462439732,1.28,1.520960987483e+12
511770,0.0569276404699608,1.06,1.520961008757e+12
511771,0.8094084157630356,5.24,1.520961027499e+12
511772,0.9366079023891614,15.76,1.520961073941e+12
511773,0.4384738280061805,1.78,1.520961145083e+12
511774,0.5430976465677604,2.19,1.520961171315e+12
511775,0.3103224107321171,1.45,1.520961200988e+12
511776,0.3780699647911988,1.61,1.520961224061e+12
511777,0.2768833779908911,1.38,1.520961248713e+12
511778,0.5910358532776675,2.44,1.520961271065e+12
511779,0.9921119699701928,126.65,1.520961302627e+12
511780,0.8979355608806796,9.79,1.520961424529e+12
511781,0.4516454035070830,1,1.520961484673e+12
511782,0.0813285957745576,1.09,1.520961502675e+12
511783,0.8108832297872014,5.28,1.520961521777e+12
511784,0.4711958762424057,1.89,1.520961568379e+12
511785,0.1956080773835089,1.24,1.520961595581e+12
511786,0.7223748072801099,3.6,1.520961616414e+12
511787,0.4403190374002603,1.79,1.520961655235e+12
511788,0.1707255372709421,1.21,1.520961681558e+12
511789,0.7330243719585764,3.74,1.52096170205e+12
511790,0.8560475730002037,6.94,1.520961741621e+12
511791,0.2914951223161759,1.41,1.520961794094e+12
511792,0.3075541007117261,1.44,1.520961816757e+12
511793,0.0203861941165259,1.02,1.52096183973e+12
511794,0.2438578033456248,1.32,1.520961857983e+12
511795,0.9501645378652411,20.05,1.520961879695e+12
511796,0.7754060439242529,4.45,1.520961956538e+12
511797,0.6272527141559991,2.68,1.5209619996e+12
511798,0.5464400280142296,2.2,1.520962032843e+12
511799,0.9988484461789132,867.52,1.520962062596e+12
511800,0.3356524264290119,1.5,1.520962232438e+12
511801,0.3574763621104594,1.56,1.520962256021e+12
511802,0.8907449331345841,9.14,1.520962280195e+12
511803,0.4001657516695945,1.67,1.520962338777e+12
511804,0.1064631352448983,1.12,1.520962364e+12
511805,0.9725830750476064,36.44,1.520962383462e+12
511806,0.2274953183316382,1.29,1.520962474705e+12
511807,0.7690060126523035,4.33,1.520962496089e+12
511808,0.4499209298402818,1.82,1.520962538592e+12
511809,0.3926882295386606,1.65,1.520962565184e+12
511810,0.2174812593072376,1.28,1.520962590217e+12
511811,0.7438362549859652,1,1.52096261149e+12
511812,0.4010504135864438,1.67,1.520962629492e+12
511813,0.9928489923460524,139.7,1.520962654715e+12
511814,0.0980700233713887,1.11,1.520962779057e+12
511815,0.7998759583104114,4.99,1.5209627984e+12
511816,0.9518395275696738,20.74,1.520962843821e+12
511817,0.9809134507041689,52.34,1.520962921474e+12
511818,0.2643999981843866,1.36,1.520963021566e+12
511819,0.9781468037930664,45.72,1.520963043709e+12
511820,0.7499876215006196,4,1.52096314141e+12
511821,0.3409802844610485,1.52,1.520963182324e+12
511822,0.9197006688731957,12.44,1.520963206108e+12
511823,0.9629982793617525,27,1.520963271741e+12
511824,0.7088761335957973,3.43,1.520963355725e+12
511825,0.2083143620305495,1.26,1.520963393607e+12
511826,0.5024007722973827,2.01,1.520963414659e+12
511827,0.6403342393786493,2.78,1.520963442882e+12
511828,0.8278028792300733,5.8,1.520963476796e+12
511829,0.9919416385218366,123.97,1.52096352539e+12
511830,0.1203298373428012,1.14,1.520963646762e+12
511831,0.5853986054624893,2.41,1.520963666455e+12
511832,0.1678578860982922,1.2,1.520963697798e+12
511833,0.4589609025183509,1.85,1.520963718182e+12
511834,0.1304401220126171,1.15,1.520963745035e+12
511835,0.9933126964590776,149.39,1.520963764848e+12
511836,0.2653330097127084,1.36,1.520963890851e+12
511837,0.8257788626537145,5.74,1.520963912994e+12
511838,0.4110801330327709,1,1.520963961367e+12
511839,0.8251888989063886,5.72,1.52096397937e+12
511840,0.4408265609389234,1.79,1.520964027672e+12
511841,0.5058654026374839,2.02,1.520964053994e+12
511842,0.7266054476440431,3.66,1.520964082296e+12
511843,0.2794027433915536,1.39,1.520964121449e+12
511844,0.2454317422223817,1.32,1.5209641439e+12
511845,0.1177659016376748,1.13,1.520964165615e+12
511846,0.7072422229003259,3.41,1.520964185188e+12
511847,0.6932671514091239,1,1.520964222961e+12
511848,0.5768621013445925,2.36,1.520964240965e+12
511849,0.6629156965443204,2.96,1.520964271938e+12
511850,0.9430964197830989,1,1.520964307021e+12
511851,0.4178647511680296,1.72,1.520964325023e+12
511852,0.7048673852591001,1,1.520964350716e+12
511853,0.6268233795712758,2.68,1.520964368718e+12
511854,0.1218095298674445,1.14,1.520964401961e+12
511855,0.0288793123394436,1.03,1.520964421652e+12
511856,0.4014048749584250,1.67,1.520964440024e+12
511857,0.1234716037575788,1.14,1.520964465247e+12
511858,0.2783331655148262,1.39,1.520964484939e+12
511859,0.4967233518829391,1.99,1.520964507391e+12
511860,0.4292311695006749,1.75,1.520964535442e+12
511861,0.3981586295175735,1.66,1.520964561404e+12
511862,0.3812085411933271,1.62,1.520964586537e+12
511863,0.7354242191033963,1,1.52096461129e+12
511864,0.7547396434831293,4.07,1.520964629292e+12
511865,0.2960723604299296,1.42,1.520964670544e+12
511866,0.4019040345218741,1.67,1.520964693306e+12
511867,0.9464601015081769,18.66,1.520964718529e+12
511868,0.8687044304955529,7.61,1.520964793661e+12
511869,0.1717620774106519,1.21,1.520964848154e+12
511870,0.8090483201223072,5.23,1.520964868647e+12
511871,0.1766632120536322,1.21,1.520964915049e+12
511872,0.3552218518115631,1.55,1.520964935541e+12
511873,0.9342045350778393,15.18,1.520964959614e+12
511874,0.5344680746864687,2.15,1.520965029877e+12
511875,0.0773163237788985,1.08,1.52096505924e+12
511876,0.1250133849971493,1.14,1.520965078222e+12
511877,0.7517749922703427,4.03,1.520965097914e+12
511878,0.9446327360218001,18.04,1.520965138977e+12
511879,0.0328735883889891,1.03,1.520965213309e+12
511880,0.7682320314385538,4.31,1.520965231681e+12
511881,0.4503323769779718,1.82,1.520965274093e+12
511882,0.7954526154313826,4.88,1.520965300685e+12
511883,0.0342436761209377,1.04,1.520965345647e+12
511884,0.7676252072601638,4.3,1.520965364139e+12
511885,0.5090228143401964,2.04,1.5209654065e+12
511886,0.2986212596992546,1.43,1.520965434972e+12
511887,0.1987786221315103,1.25,1.520965457844e+12
511888,0.0145442886311897,1.01,1.520965478788e+12
511889,0.9593262132162522,24.56,1.52096549691e+12
511890,0.5803904017853528,2.38,1.520965578613e+12
511891,0.2413677920683678,1.32,1.520965609736e+12
511892,0.2440250481581374,1.32,1.520965631449e+12
511893,0.8297126022702346,5.87,1.520965653161e+12
511894,0.4952130493463979,1.98,1.520965702015e+12
511895,0.1185559153367197,1.13,1.520965729988e+12
511896,0.1260675583328278,1.14,1.52096574956e+12
511897,0.1986562780101449,1.25,1.520965769252e+12
511898,0.5076639604539759,2.03,1.520965790195e+12
511899,0.9818779325536169,1,1.520965818578e+12
511900,0.5198757500666835,1,1.520965836579e+12
511901,0.2568394530696886,1.35,1.520965854582e+12
511902,0.1941321115461486,1.24,1.520965876615e+12
511903,0.9214176880012774,12.71,1.520965897447e+12
